DO,pH,Temp 
7.8,7,17
8.2,6.5,12
,6.5,12
5.8,7,8
,7,9
4.3,7.5,16
,6.5,15
7,7,14
,7.5,17
4.5,7,21
,6.5,25
4.9,7,22
,7,27
,6.5,30
3,7,28
,6.5,26
4.3,6.5,28
,7,24
,7,24
,7,20
,6.5,10
9,6.5,8
,7,9
6,7,11
,7,12
7.5,7,8
,7.5,10
6.3,7.5,16
,7.5,14
7,7.5,13
,8,18
6.7,7,20
,8,25
4.5,7.5,22
,7.4,26
,7,28
2.9,7.5,27
,7.5,27
5.2,7,
,8.5,23
,8,24
7.1,7,20
,6.5,9
9.7,7,9
,7,9
,6.5,10
7.2,6.5,11
,6.5,6
10,6.5,8
,6.5,15
9.5,6.5,14
,7,12
7.4,6.5,17
,6.5,20
6.1,6.5,25
,6.5,23
5,6.5,27
4.2,7,30
,6.5,27
5.5,6.5,26
,6.5,28
5.2,6.5,23
5.8,6.5,24
5.5,7.5,22
8.6,6,9
,7,8
8.8,6.5,9
6.9,7.5,12
6.5,7,11
5.3,7.5,8
6.2,7,8
5.3,7.5,
7.2,7,13
6.5,8,11
7.1,7.5,17
5.3,8,19
6.1,8.5,24
3.9,8.5,22
4.9,,26
5.9,8.5,28
4.2,7.5,
6.1,8,25
3.7,7,25
5,7,21
4.8,8,24
3.7,9,
7.6,7,10
8.9,7,7
8.4,7,9
6.9,6.5,8
,7,4
5.7,6.5,
,,10
5,6.5,11
,6.5,9
5.9,6,21
,7,15
5.6,7,22
,7,25
6.1,7.5,29
,7,28
4.1,7,26
,7,27
5.3,6,28
,7,28
4.8,7,26
,6.5,21
,6,17
7,7,13
,6.5,11
8.8,,10
,7,8
7.2,,10
,7,4
,7,10
7.6,7.5,11
,7.5,8
5.8,7.5,20
,7,15
4.2,8,22
,7.5,25
5.4,8,29
,7.5,27
3.3,7,
,7.5,26
6.4,8,27
,8,28
,,25
,7.5,21
,7,17
,7.5,12
,7,11
5,7,11
,7,7
,6.5,9
,6.5,4
,6.5,9
9.8,6.5,9
,6.5,11
10,6.5,8
,6.5,20
8.6,6.5,15
,7,22
5.5,6,24
,7,30
6.4,7.5,
,7,26
3.8,6.5,27
6.8,7,26
4.2,6.5,27
,6.5,27
6.1,6.7,20
7,6.5,17
,6,12
9.6,6.5,12
,6.5,10
8.65,6.5,8
8.5,7,9
8.7,7,3
7.7,7,9
8.5,7,10
10,7.5,11
10,7,8
8,7,20
8.9,7,14
8.2,7,19
6.1,7.5,24
6.9,7.5,26
6.7,7.5,26
6.8,7.5,26
5.9,8,26
6.8,8.5,24
6,8.5,26
4.3,8,25
6.1,8.5,19
7.9,7,16
9.8,7.5,11
7.1,7,12
7,7.5,11
8.35,7,8
,6.5,6
,6,5
7.9,6.5,5
7.3,7,5
6.8,6.5,11
6.2,6.5,
,6.5,11
8.7,7,11
,6.5,1
,7,4
10,6.5,2
8.8,7,3
6,6.5,9
8.1,7,8
,6.5,9
6.9,7,9
8.2,7.5,14
8.2,6,14
,7,14.5
,6.5,13
10,7,4
,7,7
,7,5
,6.5,6
,6.5,17
,7,15
8.2,6.5,16
9,7.5,
6.8,7,18
,6.5,19
,7,18
6.6,6.5,19
7.3,7.5,18
3,6.5,21
3.86,7.5,20
,6.5,21
5.4,7,15
0,7,27
0,8,27
4.3,7,27
4,7,25
6,7,27
,7,28
4.2,8,24
,7.5,29
,7.5,28
5.8,6.5,28
4.2,7.5,25
3.7,7.5,26
,6.5,27
,7.5,28
5.3,7,27
3.9,8,25
,7,26
3,8,26
2.4,6.5,26
,7,27
5.3,6.5,25
3.9,8.5,24
4.6,6.5,24
3.7,6.5,25
,6.5,24
2.7,7.5,24
7,8,20
,6,22
,7,18
6.3,,20
6.4,7,20
5.9,7,17
,6,20
6,7.5,
,6.5,18
,7.5,
7.6,6,18
6.5,7.5,16.5
7,7,13
7.2,6.5,14
6.2,7.5,13
,6.5,14
9.8,7,11
,7,10
,6.5,10
9.7,6,10
7.6,9,11
7.3,7,7
6.3,6.5,7
,7,7
8.9,7,9
,6.5,9
,7,8
9,6.5,9
8.3,7,7
,6.5,8
,7,7
9,6.5,8
10,,
9.7,6.5,3
7.6,6.5,3
,6.5,4
,6.5,1
,,
10,6.5,0
9.2,7,3
7.1,7,20
5.3,7.5,20
4,6.5,19
8.2,7,15
7.4,6.5,16
,7,17
,7,18
,6.5,10
10,7,9
10,7,9
7.8,7,10
,6.5,19
6.3,7.5,20
7.7,7,20
,8,21
,7.5,21
4.3,7.5,25
5.8,7,27
,7.5,28
,7,29
5,8.5,26
4,8,27
5.1,8,28
,7,29
,7,30.5
7,7.5,31
6,7.5,30
7,9,27
4.5,8,23
2.9,9,26
5.5,7,18
,6,20
,7,19
6.2,6,
6.7,7,15
6,7,12
,6.5,14
4.9,7,12
,7,18
,7,19
6.6,6.5,18
6.6,7,28
5.5,7.5,13
6.5,6.5,15
8,7,14
,6.5,14
,7,14
,7,15
,6.5,14
7.1,6.5,
,7,15
,6.5,17
6.6,6,16
7.9,7,17
,7,14
,6,17
,6,17
6.2,6,19
8.7,7,18
6.5,6.5,7
9.1,7,5
,6.5,6
6.6,6.5,5
,6,5
,6,2
10,5.5,3
9.5,7,5
9,7,11
8,,11
7.5,6.5,11
,6.5,10
9.5,7,11
9.5,6.5,12
,7,12
,7,12
7.1,6.5,11
6.5,7,11
,6.5,12
7.1,7,10
,6.5,15
,8,14
6,6.5,14
7.9,7,13
4.5,7,21
,7,22
,6.5,20
,6.5,21
,,
3.9,7.5,28
4.2,8.5,28
,6.5,29
4.3,8.5,27
,6.5,25
,6.5,24
5,6,
3.2,7,23
3.8,6.5,22
2.9,6.5,25
3.9,6.5,22
6.8,,21
,6.5,22
,6.5,24
6.3,7,
6,6.5,25
,6.5,17
3.8,6.5,16
4.4,6.5,16
6.3,6.7,17
,6.5,18
,6.5,12
8.8,6.5,14
9,7,13
,7,11
,6.5,10
7.6,7,11
10,6.5,11
,7,6
6.7,7,5
,6.5,5
10,6.5,5
,6,9
7.9,,9
3.2,7,9
7.6,6.5,8
,7,9
10,6.5,10
8.2,7,9
,7,11
,6.5,13
5.7,6.5,13
5.2,7,13
5.2,7,12
7.1,7,13
,6.5,13
,6.5,13
10,6.5,12
,6.5,10
,,
5,7,10
3.2,7,10
,7,20
,7,19
,6.5,19
,6.5,19
4.2,6.5,22
,6.5,23
,6.5,27
,7,31
3.6,7,27
,6.5,19
,6.5,18
,,
,,
3.9,7,26
,7,31
4.2,7,28
7.3,6,17
6.5,6.5,19
,6.5,22
4.6,6.5,22
,6.5,26
5.3,6.5,29
,6.5,29
6,6,20
5,6,18
6.9,7,20
3.5,6,21
4.3,6.5,25
4.7,7,27
6.2,7,26
,7,20
,7,19
6.2,6.5,19
4.2,6.25,19
,6.5,25
,6.5,25
4.8,,25
6.2,7,25
,7,21
,6.5,20
5.8,6.5,20
6,7,20
3,7,24.5
,6.5,25
,,
,6.5,25
,7,25
5.8,6.5,26
5.2,7,25
7.1,7,26
6.8,6.5,27
4.1,6.5,26
,6.5,27
6.6,7,16
6.9,6.5,16
,6.5,15
,6.5,16
,,
,6.5,6
5.2,6.5,6
,6.5,6
,6.5,7
9.9,6.5,7
10,7,9
10,7,9
,7,5
,6.5,7
,6.5,8
8,6.5,7
,7,17
,7,14
,7,21
4,6.5,26
,7,26
4.7,4.8,27
,7,28
,6.5,29
3.8,6.5,28
,6.5,31
4.4,6.5,28
10,7,3
7.7,6.5,3
,6.5,5
,6.5,8
,6.5,8
9.8,6.5,5
,7,19
8,6.5,10
,7.5,22
4.9,7,26.1
,7,29
3.7,7,26
,7,28
,6.5,30
7.3,6.5,27
,6.5,30
5,6.5,28
,6.5,4
10,6.5,4
9.5,6.5,6
10,6.5,8
,6.5,7
8,,18
,7,14
6.3,6.5,21.4
,6.5,25
5,6.5,27
,6.5,25
4,,27
4,6.5,28
,6.5,28
3.2,6.5,30
5,6.5,25
8,7,4
,,
6,6,5
,,
9.2,7,9
8.8,6,6
7.9,6.5,17
7.8,6.5,14
6,6.5,20
6.9,6.5,25
5.6,7,24
6,7,24
6.2,7,26
3.8,7,26
6,7,26
6.2,7.5,28
4.2,7,25
,,
,7,27
4.9,7,25
,8,28
,7,33
,7.5,31
3.6,7,28
,7,28
4.6,7,23
,7,19
5.9,7,20
7,,23
,6.5,28
4.1,7,27
,9,27
,7.5,33
,7.5,31
,7,31
,7,30
4.7,6.5,23
,7,20
4.6,6.5,20
,6.5,22
4.8,6.5,24
,6.5,27
4.1,7,15
5.9,7,28
3.6,6.5,25
,6.5,27
5.5,7,28
,7,23
,6.5,20
,6.5,20
4,6.5,22
5.3,7,22
6.9,7,22
4.2,8,24
6.5,7.5,26
4.4,7.5,25
4,7,26
4.5,9,27
4.1,7.5,22.8
6,,19
6.2,7,19
,6.5,15
10,7,10
,6.5,15
7,6.5,11
,6.5,27
,6.5,15
8.7,6.5,10
,6.5,15
9.5,7,12
,7,19
10,6.5,13
,6.5,13
8.3,6.5,16
,6.5,14
6.7,6.5,20
6,7,15
10,6.5,12
8.7,6.5,15
10,6.5,12
7.4,6.5,19
,7.5,27
5.7,7,25
10,7.5,29
,7.5,25
,7,27
3.2,8.5,23
,7.5,28
2.3,8,24
6.1,6,27
,7,24
4.8,7,28
,7,24
6.3,9,26
5,8.5,23
,6.5,27
6.6,6.5,15
,6.5,13
,6.5,20
,6.5,11
,6.5,27
6.7,6.5,15
5,7,13
0,7,20
,6.5,9
6,6.5,26
,6.5,16
,6.5,13
6.9,6.5,20
,6.5,11
5,7,25
9,7,18
2.9,7,13
,7,20
,7,10
